site,treatment,date,plot_id,flux,replicate,f_quality_flag,f_fluxid,f_slope_corr,f_temp_air_ave,f_atm_pressure_ave,f_datetime,f_flux,f_model
WAY,B,2018-03-12,1,NEE,1,ok,1,-0.13288162802930553,29.782575757575728,0.70082320736,2018-03-12T09:28:46Z,-5.715830838778309,exp_zhao18
WAY,B,2018-03-12,1,Reco,1,ok,2,0.22793144206976212,30.033000000000015,0.700804366097,2018-03-12T09:32:31Z,9.795985210252047,exp_zhao18
WAY,B,2018-03-12,2,NEE,1,ok,3,-0.2645567748160158,30.415857142857135,0.7006323594647142,2018-03-12T09:43:26Z,-11.352933272648114,exp_zhao18
WAY,B,2018-03-12,2,Reco,1,ok,4,0.18524424306909248,30.64861538461537,0.7005971122039999,2018-03-12T09:47:46Z,7.942901967660383,exp_zhao18
WAY,B,2018-03-12,3,NEE,1,ok,5,-0.24427572677085618,31.512999999999977,0.7002911659809999,2018-03-12T09:58:13Z,-10.439775927955539,exp_zhao18
WAY,B,2018-03-12,3,Reco,1,ok,6,0.3262076924401547,32.15300000000002,0.7002601483915714,2018-03-12T10:02:08Z,13.911516251787802,exp_zhao18
WAY,B,2018-03-12,4,NEE,1,zero,7,0,33.779714285714306,0.69992600436,2018-03-12T10:11:07Z,0,exp_zhao18
WAY,B,2018-03-12,4,Reco,1,ok,8,0.23127338680769133,34.49785714285713,0.6997638669607142,2018-03-12T10:15:27Z,9.780818705937836,exp_zhao18
WAY,B,2018-03-12,5,NEE,1,ok,9,-0.4643754379629961,35.01042857142858,0.6994988075601428,2018-03-12T10:23:54Z,-19.598881155978912,exp_zhao18
WAY,B,2018-03-12,5,Reco,1,ok,10,0.14802266371509032,35.0984285714286,0.6994071646822857,2018-03-12T10:27:34Z,6.24466795122836,exp_zhao18
WAY,C,2018-03-12,1,NEE,1,ok,11,-0.08626652574697813,28.409253731343256,0.6952476933140298,2018-03-12T11:49:27Z,-3.6979508473381255,exp_zhao18
WAY,C,2018-03-12,1,Reco,1,ok,12,0.22831956660007524,28.13357142857143,0.6952014615338571,2018-03-12T11:52:58Z,9.795582951586718,exp_zhao18
WAY,C,2018-03-12,2,NEE,1,ok,13,-0.31312144687659654,28.139714285714263,0.695080210957,2018-03-12T12:00:10Z,-13.431216928742492,exp_zhao18
WAY,C,2018-03-12,2,Reco,1,ok,14,0.12526987318548205,28.896714285714268,0.6949166636672857,2018-03-12T12:08:29Z,5.358672031747875,exp_zhao18
WAY,C,2018-03-12,3,NEE,1,zero,15,0,29.839571428571446,0.6946910811987143,2018-03-12T12:16:49Z,0,exp_zhao18
WAY,C,2018-03-12,3,Reco,1,ok,16,0.37339551248859737,30.07042857142858,0.6946290460198572,2018-03-12T12:20:14Z,15.904334679596642,exp_zhao18
WAY,C,2018-03-12,4,NEE,1,ok,17,-0.16022419596264584,30.111285714285714,0.6941666019592857,2018-03-12T12:28:38Z,-6.81909551369721,exp_zhao18
WAY,C,2018-03-12,4,Reco,1,ok,18,0.017246937657974304,30.131692307692333,0.6940970835158462,2018-03-12T12:33:06Z,0.7339017917930989,exp_zhao18
WAY,C,2018-03-12,5,NEE,1,ok,19,-0.022700849715007583,29.85757142857142,0.693577267760143,2018-03-12T12:46:44Z,-0.9661296558116267,exp_zhao18
WAY,C,2018-03-12,5,Reco,1,ok,20,0.15475086073817823,29.848571428571404,0.6935377908281429,2018-03-12T12:50:41Z,6.585891214879903,exp_zhao18
PIL,B,2018-03-13,5,NEE,1,ok,21,-0.08392017151500426,23.710333333333324,0.6502064533781666,2018-03-13T09:15:26Z,-3.4175698316091325,exp_zhao18
PIL,B,2018-03-13,5,Reco,1,ok,22,0.2553543364043469,23.980857142857133,0.6501498227792857,2018-03-13T09:19:24Z,10.388691740582274,exp_zhao18
PIL,B,2018-03-13,4,NEE,1,ok,23,-0.09264444225376425,23.682999999999993,0.6502879920412856,2018-03-13T09:29:31Z,-3.7736781215323307,exp_zhao18
PIL,B,2018-03-13,4,Reco,1,ok,24,-0.0018381361131420554,23.484603174603194,0.6502680969207936,2018-03-13T09:33:39Z,-0.07492042519724423,exp_zhao18
PIL,B,2018-03-13,3,Reco,1,ok,25,0.2762628636716027,23.019571428571453,0.6504205217415714,2018-03-13T09:46:39Z,11.280497081947539,exp_zhao18
PIL,B,2018-03-13,3,NEE,1,ok,26,-0.25333572712659974,22.940428571428583,0.6503415678775714,2018-03-13T09:50:03Z,-10.345834243586506,exp_zhao18
PIL,B,2018-03-13,2,NEE,1,zero,27,0,22.915999999999997,0.6504458997692857,2018-03-13T10:02:48Z,0,exp_zhao18
PIL,B,2018-03-13,2,Reco,1,ok,28,0.2651258027050063,23.06857142857143,0.6503909140425713,2018-03-13T10:05:54Z,10.82345980131741,exp_zhao18
PIL,B,2018-03-13,1,NEE,1,ok,29,0.023331309075586226,22.34730158730156,0.6504905462995237,2018-03-13T10:22:01Z,0.9549453240446079,exp_zhao18
PIL,B,2018-03-13,1,Reco,1,ok,30,0.16330209328177825,22.06642857142856,0.6504755074682856,2018-03-13T10:26:05Z,6.690123085987715,exp_zhao18
PIL,BB,2018-03-14,3,NEE,1,zero,31,0,12.10185714285717,0.6507222382932857,2018-03-14T07:14:51Z,0,exp_zhao18
PIL,BB,2018-03-14,3,Reco,1,ok,32,0.13195903963614275,21.25799999999998,0.6508745064595713,2018-03-14T08:33:44Z,5.424237917604411,exp_zhao18
PIL,BB,2018-03-14,2,NEE,1,ok,33,-0.34519187153089925,22.113,0.6511867971894999,2018-03-14T08:42:58Z,-14.154973114428778,exp_zhao18
PIL,BB,2018-03-14,2,Reco,1,ok,34,0.15066125020470528,22.68928571428569,0.6511987812581428,2018-03-14T08:46:52Z,6.166109466712599,exp_zhao18
PIL,BB,2018-03-14,1,NEE,1,zero,35,0,22.531600000000026,0.6514641226368001,2018-03-14T08:56:26Z,0,exp_zhao18
PIL,BB,2018-03-14,1,Reco,1,ok,36,0.06238301846152519,22.402857142857158,0.6514723000012858,2018-03-14T08:59:53Z,2.5566960880288394,exp_zhao18
PIL,C,2018-03-14,5,NEE,1,ok,37,-0.09102297005934985,20.85185714285717,0.6522519694082858,2018-03-14T09:17:52Z,-3.7546396088505727,exp_zhao18
PIL,C,2018-03-14,5,Reco,1,ok,38,0.09794414967077358,20.712428571428575,0.6522970859020001,2018-03-14T09:22:02Z,4.042330372529096,exp_zhao18
PIL,C,2018-03-14,4,Reco,1,ok,39,0.20276062355665858,19.91742857142856,0.6523873188894287,2018-03-14T09:58:36Z,8.392155158405568,exp_zhao18
PIL,C,2018-03-14,4,NEE,1,ok,40,-0.044450345216085874,20.1035714285714,0.6523379727244286,2018-03-14T10:02:05Z,-1.8384694500820202,exp_zhao18
PIL,C,2018-03-14,3,Reco,1,ok,41,0.28217646292889875,19.367285714285686,0.6525240782610001,2018-03-14T10:10:59Z,11.7035528847161,exp_zhao18
PIL,C,2018-03-14,3,NEE,1,ok,42,0.058773715568075396,19.099571428571437,0.652494470562,2018-03-14T10:15:00Z,2.4398213610249804,exp_zhao18
PIL,C,2018-03-14,2,NEE,1,zero,43,0,18.601999999999975,0.6526058519058572,2018-03-14T10:22:14Z,0,exp_zhao18
PIL,C,2018-03-14,2,Reco,1,ok,44,0.13425486615654877,18.388428571428562,0.652563555193,2018-03-14T10:27:47Z,5.587389823217416,exp_zhao18
PIL,C,2018-03-14,1,Reco,1,ok,45,0.12793031716241643,18.203714285714284,0.6525734244260001,2018-03-14T10:38:42Z,5.327632146472078,exp_zhao18
ACJ,B,2018-03-15,5,NEE,1,ok,46,-0.21898681245727486,15.008857142857153,0.6692143611544287,2018-03-15T06:50:46Z,-9.455906537643433,exp_zhao18
ACJ,B,2018-03-15,5,Reco,1,ok,47,0.12596485709923522,15.531999999999982,0.6692228204970001,2018-03-15T06:54:54Z,5.429406575250202,exp_zhao18
ACJ,B,2018-03-15,4,NEE,1,ok,48,-0.04592470441587085,16.62073529411765,0.6694707124082353,2018-03-15T07:06:41Z,-1.972765022251599,exp_zhao18
ACJ,B,2018-03-15,4,Reco,1,ok,49,0.05295581546465214,16.975714285714275,0.6694625018698571,2018-03-15T07:10:47Z,2.2719858555369963,exp_zhao18
ACJ,B,2018-03-15,3,NEE,1,ok,50,-0.2935004818867308,17.783999999999992,0.6696330986117143,2018-03-15T07:19:46Z,-12.56039166744402,exp_zhao18
ACJ,B,2018-03-15,3,Reco,1,ok,51,0.15661706964889743,18.11228571428569,0.6696443777351428,2018-03-15T07:22:08Z,6.695006409922235,exp_zhao18
ACJ,B,2018-03-15,2,NEE,1,ok,52,-0.03303921687977318,19.553272727272713,0.66974409544,2018-03-15T07:30:40Z,-1.4056040170677582,exp_zhao18
ACJ,B,2018-03-15,2,Reco,1,ok,53,0.13610143907009198,20.01942857142859,0.6697613986407143,2018-03-15T07:33:35Z,5.781174521388734,exp_zhao18
ACJ,B,2018-03-15,1,NEE,1,ok,54,-0.23340409239794757,21.200781249999977,0.6697508244625,2018-03-15T07:40:28Z,-9.874348712249343,exp_zhao18
ACJ,B,2018-03-15,1,Reco,1,ok,55,0.1781358381216373,21.83914285714286,0.669755759079,2018-03-15T07:44:21Z,7.5199275401699754,exp_zhao18
ACJ,C,2018-03-15,5,NEE,1,zero,56,0,22.769499999999994,0.6661954332742499,2018-03-15T09:40:11Z,0,exp_zhao18
ACJ,C,2018-03-15,5,Reco,1,ok,57,0.22807794993388797,22.90885714285713,0.6661915560755713,2018-03-15T09:47:00Z,9.542370960610517,exp_zhao18
ACJ,C,2018-03-15,4,NEE,1,ok,58,0.007842851491528429,22.804250000000025,0.666252181364,2018-03-15T09:54:45Z,0.328276643417962,exp_zhao18
ACJ,C,2018-03-15,4,Reco,1,ok,59,0.33148600724035426,22.82257142857145,0.6661901461851428,2018-03-15T09:57:22Z,13.872791822226569,exp_zhao18
ACJ,C,2018-03-15,3,NEE,1,ok,60,-0.34749266065513673,22.595199999999977,0.6662423121309999,2018-03-15T10:07:18Z,-14.554995383839247,exp_zhao18
